species;plastome;ITS;matK;ndhF;rbcL;atpB.rbcL;ndhA_intron;rpl16_intron;rpl32.trnL;rps16_intron;trnL.F
Centranthera cochinchinensis;NA;NA;KX526734;NA;KX527367;NA;NA;NA;NA;NA;NA
Cephalacanthus maculatus;NA;KY632545;NA;NA;NA;NA;KY632353;KY632505;NA;NA;NA
Ceratotheca triloba;NA;AY178649;JQ024946;AY919281;AY919277;NA;NA;NA;NA;AF482534;KJ743178
Chaenorhinum calycinum;NA;MK095636;NA;NA;NA;NA;NA;NA;MK095690;NA;NA
Chaenorhinum cryptarum;NA;KT187720;NA;KT187776;NA;NA;NA;NA;NA;NA;NA
Chaenorhinum flexuosum;NA;MK095638;NA;NA;NA;NA;NA;NA;MK095692;NA;NA
Chaenorhinum glareosum;NA;KT031893;NA;KT187777;NA;NA;NA;NA;KT031951;NA;NA
Chaenorhinum grandiflorum;NA;KT031889;NA;KT187778;NA;NA;NA;NA;KT031947;NA;NA
Chaenorhinum huber-morathii;NA;MK095640;NA;NA;NA;NA;NA;NA;MK095694;NA;NA
Chaenorhinum johnstonii;NA;KT031890;NA;NA;NA;NA;NA;NA;KT031948;NA;NA
Chaenorhinum macropodum;NA;KC994565;NA;KT187779;NA;NA;NA;NA;JF694119;NA;NA
Chaenorhinum minus;NA;KX061032;JN895897;AJ250381;KM360709;NA;NA;NA;KT031946;KX037392;KX061013
Chaenorhinum origanifolium;NA;KT031882;NA;JN848480;NA;NA;NA;NA;KT031941;NA;AY316706
Chaenorhinum reyesii;NA;MK095642;NA;MK095675;NA;NA;NA;NA;MK095697;NA;NA
Chaenorhinum robustum;NA;KT031884;NA;KT187783;NA;NA;NA;NA;KT031942;NA;NA
Chaenorhinum rubrifolium;NA;KT031886;NA;NA;NA;NA;NA;NA;KT031944;NA;NA
Chaenorhinum rupestre;NA;KT187730;NA;KT187786;NA;NA;NA;NA;NA;NA;NA
Chaenorhinum serpyllifolium;NA;KT187731;NA;KT187787;NA;NA;NA;NA;MK095699;NA;NA
Chaenorhinum spicatum;NA;KT031891;NA;NA;NA;NA;NA;NA;KT031949;NA;NA
Chaenorhinum tenellum;NA;AY731251;NA;KT187788;NA;NA;NA;NA;MK095700;NA;NA
Chaenorhinum tuberculatum;NA;KT031887;NA;NA;NA;NA;NA;NA;KT031945;NA;NA
Chaenorhinum villosum;NA;KT031881;NA;KT187789;NA;NA;NA;NA;KT031940;NA;NA
Chaenostoma calciphilum;NA;AJ550605;NA;NA;NA;NA;NA;NA;NA;NA;AJ550539
Chaenostoma campanulatum;NA;AJ550606;NA;AJ550550;NA;NA;NA;NA;NA;NA;NA
Chaenostoma cordatum;NA;AJ550607;NA;AJ550564;NA;NA;NA;NA;NA;NA;AJ550540
Chaenostoma floribundum;NA;AJ550608;NA;AJ550565;NA;NA;NA;NA;NA;NA;AJ550541
Chaenostoma hispidum;NA;AJ550610;NA;NA;NA;NA;NA;AY712622;NA;KX057268;AJ550543
Chaenostoma patrioticum;NA;AJ550612;NA;AJ401393;NA;NA;NA;NA;NA;NA;AJ551261
Chaenostoma revolutum;NA;AJ550613;NA;AJ550568;NA;NA;NA;NA;NA;NA;AJ551262
Chaiturus marrubiastrum;NA;NA;HQ911464;NA;NA;NA;NA;NA;NA;FJ854022;FJ854268
Chalarothyrsus amplexicaulis;NA;NA;NA;NA;NA;NA;NA;NA;NA;EU087505;AF289740
Chamaesphacos ilicifolius;NA;NA;HQ911549;NA;NA;NA;NA;NA;NA;FJ854023;FJ854269
Charadrophila capensis;NA;AJ616317;NA;AJ617590;NA;NA;NA;NA;NA;AJ609196;AJ608622
Chascanum hildebrandtii;NA;NA;MK294423;NA;NA;NA;NA;NA;NA;NA;MK261605
Chascanum humbertii;NA;NA;NA;HM216700;NA;NA;NA;NA;NA;NA;HM216605
Chascanum laetum;NA;NA;NA;HM216701;NA;NA;NA;NA;NA;NA;HM216606
Chautemsia calcicola;NA;GQ344506;NA;NA;NA;KU991208;NA;GQ383631;NA;GQ383581;GQ383543
Chayamaritia banksiae;NA;KP325426;NA;NA;NA;NA;NA;NA;NA;NA;KP325433
Chayamaritia smitinandii;NA;KP325425;NA;NA;NA;NA;NA;NA;NA;NA;KP325432
Chelone glabra;NA;HQ652976;HQ384535;HQ384837;HQ384895;NA;NA;NA;KT031979;HQ385172;HQ412949
Chelone lyonii;NA;AF375163;AF375201;NA;MF349668;NA;NA;NA;NA;NA;NA
Chelone obliqua;NA;AF375164;AF375202;AJ245814;AF026824;NA;NA;NA;NA;AJ609220;AF034875
Chelonopsis chekiangensis;NA;JX893209;NA;NA;NA;NA;NA;NA;NA;JX893259;JX893283
Chelonopsis forrestii;NA;JX893210;NA;NA;NA;NA;NA;NA;NA;JX893260;JX893284
Chelonopsis giraldii;NA;JX893211;NA;NA;NA;NA;NA;NA;NA;JX893261;JX893285
Chelonopsis lichiangensis;NA;JX893212;NA;NA;NA;NA;NA;NA;NA;JX893262;JX893286
Chelonopsis longipes;NA;JX893213;HQ911424;NA;NA;NA;NA;NA;NA;JX893263;JX893287
Chelonopsis mollissima;NA;JX893214;NA;NA;NA;NA;NA;NA;NA;JX893264;JX893288
Chelonopsis moschata;NA;JX893215;HQ911425;NA;MF801770;NA;NA;NA;NA;JX893265;JX893289
Chelonopsis odontochila;NA;JX893216;NA;NA;NA;NA;NA;NA;NA;JX893266;JX893290
Chelonopsis praecox;NA;JX893217;NA;NA;NA;NA;NA;NA;NA;JX893267;JX893291
Chelonopsis rosea;NA;JX893218;NA;NA;NA;NA;NA;NA;NA;JX893268;JX893292
Chelonopsis souliei;NA;JX893219;NA;NA;NA;NA;NA;NA;NA;JX893269;JX893293
Chelonopsis yagiharana;NA;JX893222;NA;NA;NA;NA;NA;NA;NA;JX893272;JX893295
Chileranthemum pyramidatum;NA;AF289797;NA;NA;NA;NA;NA;NA;NA;NA;AF289752
Chilopsis linearis;NA;AY178657;NA;FJ887856;JN796935;NA;NA;NA;NA;DQ532492;FJ870024
Chionanthus axillaris;MH817882;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus brassii;MH817883;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus compactus;MH817868;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus filiformis;MH817869;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus hainanensis;NA;NA;NA;NA;NA;NA;NA;NA;GQ294686;NA;NA
Chionanthus henryanus;NA;KR531907;KR530564;NA;KR528960;NA;NA;NA;NA;NA;NA
Chionanthus implicatus;MH817885;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus ligustrinus;MH817886;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus macrobotrys;MH817887;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus macrocarpus;NA;NA;KR530567;NA;KR528962;NA;NA;NA;NA;NA;NA
Chionanthus mala-elengi;MH817888;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus maxwellii;MH817889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus microstigma;NA;NA;AB924904;NA;AB925526;NA;NA;NA;NA;NA;NA
Chionanthus oliganthus;NA;NA;MH332621;NA;MH332484;NA;NA;NA;NA;NA;NA
Chionanthus panamensis;MH817890;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus parkinsonii;MG255752;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus pedunculatus;MH817859;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus polygamus;MH817891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus pubescens;MH817892;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus pygmaeus;NA;NA;KJ772653;NA;KJ773382;NA;NA;NA;NA;NA;NA
Chionanthus quadristamineus;MH817893;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus ramiflorus;MH817894;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus retusus;KY582962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus rupicolus;MG255753;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus thorelii;MH817898;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionanthus virginicus;MH817900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Chionophila jamesii;NA;AF343558;AF375205;NA;NA;NA;NA;NA;NA;NA;NA
Chionophila tweedyi;NA;AF375166;AF375204;NA;NA;NA;NA;NA;NA;NA;NA
Chlamydacanthus dichrostachyus;NA;EU528882;NA;NA;NA;NA;NA;NA;NA;KC420527;NA
Chlamydacanthus lindavianus;NA;EU528884;NA;AJ249408;NA;NA;NA;NA;NA;AJ609195;AF194435
Chlamydocardia buettneri;NA;NA;NA;NA;NA;NA;NA;NA;NA;EU087535;EU087569
Chlamydocardia subrhomboidea;NA;MF768412;NA;NA;NA;NA;NA;NA;NA;MF678385;NA
Chlamydostachya spectabilis;NA;KY632574;NA;NA;NA;NA;KY632385;NA;NA;NA;NA
Chloanthes coccinea;NA;NA;NA;GQ381202;NA;NA;NA;NA;NA;NA;NA
Chloanthes glandulosa;NA;GQ381139;NA;GQ381203;NA;NA;NA;NA;NA;NA;NA
Chloanthes parviflora;NA;GQ381137;NA;GQ381204;NA;NA;NA;NA;NA;NA;NA
Chloanthes stoechadis;NA;GQ381138;NA;GQ381205;NA;NA;NA;NA;NA;NA;NA
Chorisochora transvaalensis;NA;EU087474;NA;NA;NA;NA;NA;NA;NA;EU087528;EU087565
Christisonia siamensis;NA;MK356342;NA;NA;NA;NA;NA;EU253640;NA;NA;NA
Christopheria xantha;NA;KY858263;KY858652;NA;NA;KX011549;NA;KX011567;NA;KX011540;KY858579
Chroesthes lanceolata;NA;NA;KX526464;NA;KX527532;NA;NA;NA;NA;NA;NA
Chrysothemis friedrichsthaliana;NA;KY858264;KY858653;NA;JQ592157;NA;NA;NA;NA;KY858510;KY858580
Chrysothemis pulchella;NA;KF040180;JX195977;NA;NA;KT958447;NA;GQ383632;NA;GQ383582;AJ492312
Cistanche ambigua;NA;LT715394;NA;NA;NA;NA;NA;NA;NA;NA;LT714846
Cistanche deserticola;KC128846;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cistanche fissa;NA;LT715388;NA;NA;NA;NA;NA;NA;NA;NA;LT714841
Cistanche flava;NA;LT715541;NA;NA;NA;NA;NA;NA;NA;NA;LT715013
Cistanche laxiflora;NA;LT715468;NA;NA;NA;NA;NA;NA;NA;NA;LT714924
Cistanche phelypaea;HG515538;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Cistanche ridgewayana;NA;LT715400;NA;NA;NA;NA;NA;NA;NA;NA;LT714856
Cistanche rosea;NA;LT715458;NA;NA;NA;NA;NA;NA;NA;NA;LT714915
Cistanche salsa;NA;LT715384;KY753803;NA;NA;NA;NA;NA;NA;NA;LT714835
Cistanche tubulosa;NA;LT715493;KY863538;NA;NA;NA;NA;NA;NA;NA;LT714944
Cistanche violacea;NA;LT715440;NA;NA;NA;NA;NA;NA;NA;NA;LT714885
Citharexylum altamiranum;NA;NA;NA;MG051392;NA;NA;NA;NA;NA;NA;MG051413
Citharexylum andinum;NA;NA;NA;MG051387;NA;NA;NA;NA;NA;NA;MG051431
Citharexylum argutedentatum;NA;NA;NA;HM216702;NA;NA;NA;NA;NA;NA;HM216607
Citharexylum berlandieri;NA;NA;HQ384507;HM216703;HQ384876;NA;NA;NA;NA;HQ385151;HM216609
Citharexylum bourgeauianum;NA;NA;NA;MG051402;NA;NA;NA;NA;NA;NA;MG051428
Citharexylum brachyanthum;NA;NA;NA;MG051384;NA;NA;NA;NA;NA;NA;MG051423
Citharexylum calvum;NA;NA;NA;MG051400;NA;NA;NA;NA;NA;NA;MG051438
Citharexylum caudatum;NA;GQ470548;HM446671;NA;HM446776;NA;NA;NA;NA;NA;NA
Citharexylum costaricense;NA;NA;JQ589425;NA;JQ594372;NA;NA;NA;NA;NA;NA
Citharexylum ellipticum;NA;NA;NA;MG051403;NA;NA;NA;NA;NA;NA;MG051430
Citharexylum flexuosum;NA;NA;NA;MG051394;NA;NA;NA;NA;NA;NA;MG051420
Citharexylum glabrum;NA;NA;NA;MG051399;NA;NA;NA;NA;NA;NA;MG051429
Citharexylum herrerae;NA;NA;NA;HM216706;NA;NA;NA;NA;NA;NA;HM216612
Citharexylum hexangulare;NA;NA;NA;MG051398;NA;NA;NA;NA;NA;NA;MG051418
Citharexylum hidalgense;NA;NA;NA;MG051401;NA;NA;NA;NA;NA;NA;MG051432
Citharexylum hintonii;NA;NA;NA;MG051396;NA;NA;NA;NA;NA;NA;MG051421
Citharexylum hirtellum;NA;NA;NA;MG051397;NA;NA;NA;NA;NA;NA;MG051426
Citharexylum ilicifolium;NA;NA;NA;HM216707;NA;NA;NA;NA;NA;NA;HM216613
Citharexylum ligustrinum;NA;NA;HM853881;HM216708;HM853913;NA;NA;NA;NA;NA;HM216614
Citharexylum lycioides;NA;NA;NA;MG051385;NA;NA;NA;NA;NA;NA;MG051424
Citharexylum mexicanum;NA;NA;NA;MG051404;NA;NA;NA;NA;NA;NA;MG051427
Citharexylum mocinnoi;NA;NA;NA;HM216709;NA;NA;NA;NA;NA;NA;HM216615
Citharexylum montevidense;NA;NA;HM853879;HM216710;HM853911;NA;NA;NA;NA;NA;HM216616
Citharexylum myrianthum;NA;NA;MG718798;MG051408;MG718261;NA;NA;NA;NA;NA;MG051416
Citharexylum pachyphyllum;NA;NA;NA;MG051409;NA;NA;NA;NA;NA;NA;MG051433
Citharexylum poeppigii;NA;NA;NA;MG051383;NA;NA;NA;NA;NA;NA;MG051439
Citharexylum punctatum;NA;NA;NA;MG051410;NA;NA;NA;NA;NA;NA;MG051434
Citharexylum rosei;NA;NA;NA;MG051395;NA;NA;NA;NA;NA;NA;MG051425
Citharexylum roxanae;NA;NA;NA;MG051405;NA;NA;NA;NA;NA;NA;MG051436
Citharexylum scabrum;NA;NA;NA;JN686612;NA;NA;NA;NA;NA;JN686506;NA
Citharexylum solanaceum;NA;NA;NA;MG051407;NA;NA;NA;NA;NA;NA;MG051417
Citharexylum spinosum;NA;AY178655;MH621565;NA;MH549783;NA;NA;NA;NA;NA;NA
Citharexylum subflavescens;NA;NA;NA;MG051386;NA;NA;NA;NA;NA;NA;MG051437
Citharexylum sulcatum;NA;NA;NA;MG051391;NA;NA;NA;NA;NA;NA;MG051419
Citharexylum weberbaueri;NA;NA;NA;MG051389;NA;NA;NA;NA;NA;NA;MG051415
Clarkeasia parviflora;NA;AY489342;NA;NA;JQ933269;NA;NA;NA;NA;NA;NA
Cleonia lusitanica;NA;DQ667309;NA;NA;NA;NA;NA;NA;NA;NA;DQ667495
Clerodendrum bipindense;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952033
Clerodendrum bracteatum;NA;KX228227;LN832024;NA;NA;NA;NA;NA;NA;LN832035;NA
Clerodendrum buchananii;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952040
Clerodendrum buchneri;NA;U77743;KX146273;NA;KU568050;NA;NA;NA;NA;NA;NA
Clerodendrum bungei;NA;U77744;MF801716;NA;MF801771;NA;NA;NA;NA;MF801827;FJ952045
Clerodendrum canescens;NA;KP092824;KP094058;NA;KP095012;NA;NA;NA;NA;NA;FJ952047
Clerodendrum capitatum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952036
Clerodendrum cephalanthum;NA;U77745;KX146272;NA;KU568049;NA;NA;NA;NA;NA;FJ952038
Clerodendrum chinense;NA;NA;NA;U78683;NA;NA;NA;NA;NA;NA;NA
Clerodendrum cochinchinense;NA;NA;AB924683;NA;AB925290;NA;NA;NA;NA;NA;NA
Clerodendrum coulteri;NA;AY307081;NA;AF130147;U78714;NA;NA;NA;NA;JN686533;FJ952068
Clerodendrum cyrtophyllum;NA;KU745291;HQ427333;NA;KJ939235;NA;NA;NA;NA;NA;FJ952048
Clerodendrum deflexum;NA;NA;MG784965;NA;MG784912;NA;NA;NA;NA;NA;NA
Clerodendrum floribundum;NA;NA;KM894594;NA;KM895703;NA;NA;NA;NA;NA;FJ952053
Clerodendrum fortunatum;NA;NA;HQ415394;NA;JQ618450;NA;NA;NA;NA;NA;FJ952050
Clerodendrum frutectorum;NA;NA;KX146359;NA;KU568144;NA;NA;NA;NA;NA;NA
Clerodendrum glandulosum;NA;KT728411;MF801717;NA;JQ618464;NA;NA;NA;NA;MF801828;LM651038
Clerodendrum indicum;NA;KT728413;LM651024;NA;JQ618468;NA;NA;NA;NA;LN832025;FJ952056
Clerodendrum infortunatum;NA;KT728416;LM651030;NA;JQ724863;NA;NA;NA;NA;LN832031;NA
Clerodendrum japonicum;NA;FJ980368;AF315297;AY115886;GQ436521;NA;NA;NA;NA;LN832027;FJ952043
Clerodendrum johnstonii;NA;U77753;NA;NA;NA;NA;NA;NA;NA;NA;FJ952031
Clerodendrum laevifolium;NA;U77754;KJ708870;NA;KJ594655;NA;NA;NA;NA;NA;NA
Clerodendrum lindleyi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952046
Clerodendrum longiflorum;NA;U77756;KU564558;NA;KU564780;NA;NA;NA;NA;NA;NA
Clerodendrum longilimbum;Li_2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Clerodendrum minahassae;NA;U77759;NA;NA;NA;NA;NA;NA;NA;NA;FJ952054
Clerodendrum paniculatum;NA;U77765;NA;NA;NA;NA;NA;NA;NA;NA;FJ952044
Clerodendrum poggei;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952034
Clerodendrum polycephalum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952026
Clerodendrum quadriloculare;NA;NA;NA;NA;JQ618470;NA;NA;NA;NA;NA;FJ952055
Clerodendrum rotundifolium;NA;U77766;NA;NA;NA;NA;NA;NA;NA;NA;FJ952035
Clerodendrum schweinfurthii;NA;U77768;NA;AY310125;NA;NA;NA;NA;NA;NA;FJ952028
Clerodendrum speciosissimum;NA;U77769;NA;NA;NA;NA;NA;NA;NA;NA;FJ952041
Clerodendrum splendens;NA;U77770;LM651027;AY310126;JQ618469;NA;NA;NA;NA;LN832028;FJ952027
Clerodendrum thomsoniae;NA;JN575348;LM651029;NA;NA;NA;NA;NA;NA;FN794087;FJ952029
Clerodendrum tomentosum;NA;NA;KM894535;NA;KM895633;NA;NA;NA;NA;NA;FJ952052
Clerodendrum trichotomum;NA;U77771;HQ384492;AF130146;HQ384865;NA;NA;NA;NA;HQ385140;JN102144
Clerodendrum umbellatum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ952032
Clerodendrum volubile;NA;NA;NA;NA;MH177879;NA;NA;NA;NA;NA;FJ952030
Clerodendrum yunnanense;NA;NA;NA;AY115888;NA;NA;NA;NA;NA;NA;NA
Clinacanthus nutans;MH778102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Clinopodium abyssinicum;NA;GU381403;NA;NA;NA;NA;NA;NA;NA;NA;GU381544
Clinopodium acinos;NA;JQ669074;JN893862;NA;MG221508;NA;NA;NA;JQ669273;NA;GU381498
Clinopodium alpinum;NA;KY380097;HQ902701;NA;KF602236;NA;NA;NA;NA;NA;AY840180
Clinopodium ashei;NA;DQ667237;NA;NA;NA;NA;NA;NA;JQ669284;NA;DQ667437
Clinopodium atlanticum;NA;NA;GU381697;NA;NA;NA;NA;NA;NA;NA;GU381531
Clinopodium barosmum;NA;GU381393;NA;NA;NA;NA;NA;NA;NA;NA;GU381517
Clinopodium betulifolium;NA;GU012001;GU381698;NA;NA;NA;NA;NA;NA;NA;GU381532
Clinopodium bolivianum;NA;DQ017564;NA;NA;NA;NA;NA;NA;NA;NA;GU381607
Clinopodium brownei;NA;GU381426;NA;NA;NA;NA;NA;NA;NA;NA;GU381593
Clinopodium carolinianum;NA;GU381422;NA;NA;NA;NA;NA;NA;NA;NA;GU381587
Clinopodium chinense;NA;NA;KX526668;KX526838;KX527115;NA;NA;NA;NA;NA;NA
Clinopodium coccineum;NA;DQ667233;NA;NA;NA;NA;NA;NA;NA;NA;DQ667433
Clinopodium cylindrostachys;NA;GU381433;GU381764;NA;NA;NA;NA;NA;NA;NA;GU381605
Clinopodium dalmaticum;NA;JQ669118;NA;NA;NA;NA;NA;NA;JQ669340;NA;JQ669055
Clinopodium dentatum;NA;AY943486;GU381747;NA;KX397717;NA;NA;NA;NA;NA;GU381586
Clinopodium flabellifolium;NA;GU381435;NA;NA;NA;NA;NA;NA;NA;NA;GU381608
Clinopodium glabrum;NA;NA;MK519931;NA;NA;NA;NA;NA;NA;NA;GU381579
Clinopodium gracile;NA;JQ669082;KX526669;KX526841;KX527227;NA;NA;NA;JQ669286;NA;JQ669027
Clinopodium grandiflorum;NA;GU012002;KX526666;NA;KX527540;NA;NA;NA;NA;NA;NA
Clinopodium graveolens;NA;NA;GU381667;NA;HQ902757;NA;NA;NA;NA;NA;GU381501
Clinopodium hydaspidis;NA;GU381391;NA;NA;NA;NA;NA;NA;NA;NA;GU381515
Clinopodium macrostemum;NA;JQ669083;NA;NA;NA;NA;NA;NA;JQ669287;NA;JQ669028
Clinopodium menthifolium;NA;NA;HM850807;NA;HM849903;NA;NA;NA;NA;NA;GU381535
Clinopodium molle;NA;KX381814;NA;NA;NA;NA;NA;NA;NA;NA;KX381819
Clinopodium multiflorum;NA;GU381432;NA;NA;NA;NA;NA;NA;NA;NA;GU381602
Clinopodium myrianthum;NA;GU381405;GU381717;NA;NA;NA;NA;NA;NA;MH630062;GU381554
Clinopodium nanum;NA;GU381385;NA;NA;NA;NA;NA;NA;NA;NA;GU381500
Clinopodium nepalense;NA;GU381389;NA;NA;NA;NA;NA;NA;NA;NA;GU381514
Clinopodium nubigenum;NA;DQ017563;NA;NA;NA;NA;NA;NA;NA;NA;GU381606
Clinopodium paradoxum;NA;GU381402;NA;NA;NA;NA;NA;NA;NA;NA;GU381543
Clinopodium piperitum;NA;GU381388;NA;NA;NA;NA;NA;NA;NA;NA;GU381512
Clinopodium polycephalum;NA;NA;KX526670;KX526840;KX527165;NA;NA;NA;NA;NA;GU381538
Clinopodium pulegium;NA;KY380098;KX954594;NA;NA;NA;NA;NA;NA;NA;NA
Clinopodium repens;NA;NA;MH116593;NA;MH116119;NA;NA;NA;NA;NA;NA
Clinopodium revolutum;NA;GU381436;NA;NA;NA;NA;NA;NA;NA;NA;GU381609
Clinopodium robustum;NA;GU381404;GU381715;NA;NA;NA;NA;NA;NA;NA;GU381549
Clinopodium sericeum;NA;DQ017561;NA;NA;NA;NA;NA;NA;NA;NA;GU381610
Clinopodium serpyllifolium;NA;NA;GU381699;NA;NA;NA;NA;NA;NA;NA;GU381536
Clinopodium simense;NA;GU381407;NA;NA;NA;NA;NA;NA;NA;NA;GU381559
Clinopodium taxifolium;NA;JQ669084;NA;NA;NA;NA;NA;NA;JQ669288;NA;JQ669029
Clinopodium thymifolium;NA;JQ669121;NA;NA;NA;NA;NA;NA;JQ669343;NA;JQ669058
Clinopodium vimineum;NA;NA;GU381760;NA;NA;NA;NA;NA;NA;NA;GU381600
Clinopodium vulgare;NA;DQ667324;HQ593243;NA;KM360725;NA;NA;NA;JQ669289;AJ505426;DQ667513
Clinopodium wardii;NA;GU381392;KX526681;KX526839;KX527335;NA;NA;NA;NA;NA;GU381516
Clistax brasiliensis;NA;KY632537;NA;NA;NA;NA;NA;KY632496;NA;NA;NA
Cobananthus calochlamys;NA;AF543273;NA;AF013692;NA;AJ490926;NA;NA;NA;JQ954142;AJ492313
Codonacanthus pauciflorus;NA;NA;KX526465;KX526942;KX527299;NA;NA;NA;NA;NA;NA
Codonanthe carnosa;NA;KY858267;JX195956;NA;NA;KT958433;NA;KT958373;NA;JX195812;AY047147
Codonanthe cordifolia;NA;KY858269;JX195958;NA;NA;KT958434;NA;KT958374;NA;NA;JX195730
Codonanthe devosiana;NA;KT958320;JX195961;NA;NA;KT958437;NA;KT958377;NA;JX195816;JX195734
Codonanthe gibbosa;NA;KY858275;JX195965;NA;NA;KT958439;NA;KT958380;NA;NA;JX195737
Codonanthe gracilis;NA;KT958324;JX195968;NA;NA;KT958440;NA;KT958381;NA;JX195823;JX195739
Codonanthe mattos-silvae;NA;NA;NA;NA;NA;KT958443;NA;NA;NA;JX195826;NA
Codonanthe serrulata;NA;KY858280;JX195972;NA;NA;KT958444;NA;AJ487783;NA;GQ383583;AJ439826
Codonanthe venosa;NA;KT958330;JX195974;NA;NA;KT958446;NA;NA;NA;NA;JX195745
Codonanthopsis calcarata;NA;KY858265;NA;NA;MF786422;KT958432;NA;KT958371;NA;NA;NA
Codonanthopsis chiricana;NA;KY858268;NA;NA;NA;KX011547;NA;KX011565;NA;NA;NA
Codonanthopsis corniculata;NA;KY858270;NA;NA;NA;KT958435;NA;KT958375;NA;NA;NA
Codonanthopsis crassifolia;NA;KY858271;KR270500;NA;KR082833;KT958436;NA;KT958376;NA;NA;NA
Codonanthopsis dissimulata;NA;KY858283;JX195984;NA;NA;NA;NA;NA;NA;JX195835;JX195753
Codonanthopsis elegans;NA;KY858273;NA;NA;NA;NA;NA;KT958378;NA;NA;NA
Codonanthopsis erubescens;NA;KY858274;NA;NA;NA;KT958438;NA;KT958379;NA;NA;NA
Codonanthopsis luteola;NA;KY858277;NA;NA;NA;KT958441;NA;KT958382;NA;NA;NA
Codonanthopsis macradenia;NA;KY858278;NA;NA;NA;KT958442;NA;KT958383;NA;NA;NA
Codonanthopsis uleana;NA;KY858281;NA;NA;NA;KT958445;NA;KT958386;NA;NA;NA
Codonanthopsis ulei;NA;KY858284;JX195985;NA;NA;NA;NA;KT958392;NA;JX195836;JX195754
Codonoboea albomarginata;NA;HQ632961;NA;NA;NA;AJ490910;NA;NA;NA;NA;AJ492297
Codonoboea codonion;NA;JF912565;NA;NA;NA;NA;NA;NA;NA;NA;JF912538
Codonoboea floribunda;NA;JF912566;NA;NA;NA;NA;NA;NA;NA;NA;JF912539
Codonoboea leucocodon;NA;KU203779;NA;NA;NA;NA;NA;NA;NA;NA;KU203873
Codonoboea malayana;NA;JF912568;NA;NA;NA;NA;NA;NA;NA;NA;JF912541
Codonoboea pumila;NA;JF912570;NA;NA;NA;NA;NA;NA;NA;NA;JF912543
Codonoboea venusta;NA;JF912572;NA;NA;NA;NA;NA;NA;NA;NA;JF912545
Coelocarpum madagascariense;NA;NA;NA;HM216711;NA;NA;NA;NA;NA;NA;HM216617
Coelocarpum swinglei;NA;NA;NA;HM216713;NA;NA;NA;NA;JX966855;NA;HM216619
Coffea arabica;NC_008535;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Colea sytsmae;NA;KU203470;NA;EF105001;NA;NA;NA;NA;NA;NA;EF105058
Colebrookea oppositifolia;NA;KR608733;HQ911390;U78688;U78712;NA;NA;NA;NA;JN686531;KR608667
Coleus xanthanthus;NA;FJ593348;NA;NA;NA;NA;NA;NA;NA;FJ593291;FJ593411
Collinsia heterophylla;NA;HQ653142;AF375192;NA;NA;NA;NA;NA;NA;NA;AF034873
Collinsia parviflora;NA;HQ653037;KX676810;NA;KX037375;NA;NA;NA;NA;KX037395;KX061016
Collinsia tinctoria;NA;AY492100;NA;NA;NA;NA;NA;NA;NA;AY492200;NA
Collinsia verna;NA;HQ653051;NA;NA;KX037376;NA;NA;NA;NA;KX037396;KX061017
Collinsonia anisata;NA;KY552484;NA;NA;KY624915;NA;NA;NA;NA;NA;KY624984
Collinsonia australis;NA;KY552534;KY624897;NA;KY624965;NA;NA;NA;NA;NA;KY625033
